NAME,ADDRESS,CITY,STATE,STATE_ABBR,ZIP,COUNTY,LONGITUDE,LATITUDE,SQ_FT,YEAR_ACQ,IN_USE,STATE_MEDIAN_RESIDENCE_PRICE_2021,STATE_MEDIAN_RESIDENCE_SIZE_2021
Governor's Mansion,1142 South Perry St,Montgomery,Alabama,AL,36104,Montgomery,-86.307444,32.362,8000,1950,1,138975,1800
George Smith Houston House,101 N Houston St,Athens,Alabama,AL,35611,Athens,-86.974754,34.803382,3300,1906,0,138975,1800
Governor's Beach House,540 Gulf Way Dr,Gulf Shores,Alabama,AL,36542,Gulf Shores,-87.90165837,30.23114259,7446,2019,1,138975,1800
First Residence,South Perry & South Sts,Montgomery,Alabama,AL,36104,Montgomery,-86.307418,32.368232,3400,1911,0,138975,1800
Governor's Mansion,716 Calhoun Ave,Juneau,Alaska,AK,99801,Juneau,-134.414782,58.303,12900,1912,1,300889,1789
Governor's Mansion,1800 Center St,Little Rock,Arkansas,AR,72206,Pulaski,-92.276182,34.731,9000,1948,1,128101,1792
Historic Governor's Mansion,1526 H St,Sacramento,California,CA,95814,Sacramento,-121.484763,38.58,20000,1903,1,554886,1625
Boettcher Mansion,400 East 8th Ave,Denver,Colorado,CO,80203,Denver,-104.981954,39.729,26000,1960,1,397820,2126
Governor's Residence,990 Prospect Ave,Hartford,Connecticut,CT,06105,Hartford,-72.713408,41.778,15000,1943,1,255555,1804
Governor's Mansion,151 Kings Highway,Dover,Delaware,DE,19901,Kent,-75.523205,39.161,3584,1965,1,254108,1800
Governor's Mansion,700 North Adams St,Tallahassee,Florida,FL,32303,Leon,-84.283,30.449659,15000,1956,1,245169,1694
Governor's Mansion,391 West Paces Ferry Rd,Atlanta,Georgia,GA,30305,Fulton,-84.399144,33.846,24000,1967,1,201294,1963
Old Governor's Mansion,20 S Clark St,Milledgeville,Georgia,GA,31061,Baldwin,-83.23142253,33.07964864,5400,1838,0,201294,1963
L. G. Hardman House,208 Elm St,Commerce,Georgia,GA,30529,Jackson,-83.4556,34.2015,3000,1921,0,201294,1963
Washington Place,320 South Beretania St,Honolulu,Hawai'i,HI,96813,Honolulu,-157.856769,21.309,5000,1918,1,636451,1308
Executive Mansion,410 East Jackson St,Springfield,Illinois,IL,62701,Sangamon,-89.650137,39.796,50000,1855,1,202675,1632
Simplot House,4000 Simplot Ln,Boise,Idaho,ID,83702,Ada,-116.1978583,43.65231088,8100,1979,0,285982,1932
Pierce House,1805 N 21st St,Boise,Idaho,ID,83702,Ada,-116.2149005,43.63678,2500,1914,0,285982,1932
Governor's Residence,4750 North Meridian St,Indianapolis,Indiana,IN,46208,Marion,-86.157599,39.841,10500,1973,1,155640,1742
Grouseland,3 W Scott St,Vincennes,Indiana,IN,47591,Knox,-87.526006,38.685489,3100,1802,0,155640,1742
Terrace Hill,2300 Grand Ave,Des Moines,Iowa,IA,50312,Polk,-93.649189,41.583,18000,1972,1,152885,1550
Cedar Crest,1 Southwest Cedar Crest Rd,Topeka,Kansas,KS,66606,Shawnee,-95.746802,39.066,6000,1955,1,150657,1782
L. D. Lewelling House,1245 N Broadway,Wichita,Kansas,KS,66606,Sedgwick,-97.33581284,37.70581993,1600,1894,0,150657,1782
Kentucky Governor's Mansion,704 Capitol Ave,Frankfort,Kentucky,KY,40601,Franklin,-84.873197,38.187,18428,1914,1,146871,1750
Old Governor's Mansion,420 High St,Frankfort,Kentucky,KY,40601,Franklin,-84.87379123,38.19946249,3400,1798,0,146871,1750
Governor's Mansion,1001 Capitol Access Rd,Baton Rouge,Louisiana,LA,70802,East Baton Rouge,-91.180633,30.459,25000,1963,1,166565,1786
Old Governor's Mansion,502 North Blvd,Baton Rouge,Louisiana,LA,70802,East Baton Rouge,-91.18498332,30.44653831,9800,1930,0,166565,1786
Blaine House,192 State St,Augusta,Maine,ME,04330,Kennebec,-69.781114,44.308,10000,1919,1,242316,1663
Government House,110 State Cr,Annapolis,Maryland,MD,21401,Anne Arundel,-76.491994,38.979,30800,1870,1,308041,1920
Governor's Mansion,2520 Oxford Rd,Lansing,Michigan,MI,48909,Ingham,-84.58604,42.719,8700,1969,1,173277,1530
Lawrence A. Young Cottage,Fort Hill & Huron Rds,Mackinac Island,Michigan,MI,49757,Mackinac,-84.62028324,45.8517466,4200,1945,1,173277,1530
Governor's Residence,1006 Summit Ave,Saint Paul,Minnesota,MN,55105,Ramsey,-93.142853,44.941,16000,1965,1,256857,1828
Governor's Mansion,300 East Capitol St,Jackson,Mississippi,MS,39201,Hinds,-90.183394,32.3,11448,1842,1,126502,1879
Governor's Mansion,100 Madison St,Jefferson City,Missouri,MO,65101,Cole,-92.169595,38.578,4422,1871,1,162464,1650
Governor's Mansion,2 Carson St,Helena,Montana,MT,59601,Lewis and Clark,-112.012654,46.585,9000,1959,1,277801,2040
Original Governor's Mansion,6th Ave & Ewing St,Helena,Montana,MT,59601,Lewis and Clark,-112.034167,46.587778,2500,1913,0,277801,2040
Governor's Mansion,1425 H St,Lincoln,Nebraska,NE,68508,Lancaster,-96.700462,40.806,15341,1957,1,175884,1714
Governor's Mansion,606 Mountain St,Carson City,Nevada,NV,89703,Carson City,-119.773433,39.168,9361,1909,1,301753,1712
Bridge's House,21 Mountain Rd,Concord,New Hampshire,NH,03301,Merrimack,-71.537831,43.239,6724,1969,1,290163,1768
Drumthwacket,354 Stockton St,Princeton,New Jersey,NJ,08540,Mercer,-74.674517,40.339,11700,1966,1,335607,1740
Governor's Ocean House,Shore Road,Lanoka Harbor,New Jersey,NJ,08734,Berkeley Township,-74.08188706,39.88649654,3600,1953,1,335607,1740
Morven,55 Stockton Street,Princeton,New Jersey,NJ,08540,Mercer,-74.66692541,40.34782821,4700,1954,0,335607,1740
Governor's Mansion,1 Mansion Dr,Santa Fe,New Mexico,NM,87501,Santa Fe,-105.930279,35.703,7949,1954,1,203675,1838
Palace of the Governors,105 W Palace Ave,Santa Fe,New Mexico,NM,87501,Santa Fe,-105.9380382,35.68774159,13600,1610,0,203675,1838
State Executive Mansion,138 Eagle St,Albany,New York,NY,12202,Albany,-73.760864,42.647,20000,1877,1,321934,1764
Executive Mansion,200 North Blount St,Raleigh,North Carolina,NC,27601,Wake,-78.635544,35.783,30000,1891,1,202215,1800
Governor's Western Residence,45 Patton Mountain Rd,Asheville,North Carolina,NC,28804,Buncombe,-82.5318841,35.62370772,6000,1964,1,202215,1800
Governor's Residence,1131 North 4th St,Bismarck,North Dakota,ND,58501,Burleigh,-100.784848,46.818,10000,1960,1,235012,1788
Former Executive Mansion,320 E Ave B,Bismarck,North Dakota,ND,58501,Burleigh,-100.786509,46.81094149,2200,1893,0,235012,1788
Malcolm Jeffrey House,358 North Parkview Ave,Columbus,Ohio,OH,43209,Franklin,-82.94,39.977,16000,1954,1,150374,1620
Governor's Mansion,820 Northeast 23rd St,Oklahoma City,Oklahoma,OK,73105,Oklahoma,-97.497585,35.493,14000,1928,1,128934,1746
Mahonia Hall,533 Lincoln St S,Salem,Oregon,OR,97302,Marion,-123.05065,44.926,9840,1988,1,361970,1780
Governor's Residence,2035 North Front St,Harrisburg,Pennsylvania,PA,17102,Dauphin,-76.89882,40.278,28500,1968,1,194603,1700
Governor's Mansion,800 Richland St,Columbia,South Carolina,SC,29201,Richland,-81.043777,34.008,16500,1868,1,185749,1846
Governor's Mansion,119 North Washington Ave,Pierre,South Dakota,SD,57501,Hughes,-100.341366,44.365,14000,2005,1,205567,1984
William J. Bulow House,207 W Hemlock St,Beresford,South Dakota,SD,57004,Union,-96.77645224,43.08135651,2000,1893,0,205567,1984
Leslie Jensen House,309 S Fifth St,Hot Springs,South Dakota,SD,57747,Fall River,-103.4703842,43.42975023,1800,1899,0,205567,1984
John L. Pennington House,410 E Third St,Yankton,South Dakota,SD,57078,Yankton,-97.38617389,42.8699797,3150,1875,0,205567,1984
Governor's Mansion,882 South Curtiswood Ln,Nashville,Tennessee,TN,37204,Davidson,-86.775715,36.091,15500,1949,1,185922,1848
Governor's Mansion,1010 Colorado St,Austin,Texas,TX,78701,Travis,-97.743085,30.273,9900,1856,1,207301,2031
Spanish Governor's Palace,105 Plaza de Armas,San Antonio,Texas,TX,78205,Bexar,-98.49580255,29.42487745,4800,1749,0,207301,2031
Governor's Mansion,603 East South Temple,Salt Lake City,Utah,UT,84102,Salt Lake,-111.874074,40.77,5000,1937,1,348376,2305
Executive Mansion,Capitol Sq,Richmond,Virginia,VA,23220,Richmond,-77.432173,37.538,3900,1913,1,285229,1896
Governor's Palace,300 Palace Green St,Williamsburg,Virginia,VA,23185,Williamsburg,-76.70221401,37.27402307,11000,1934,0,285229,1896
Governor's Mansion,501 13th Ave SW,Olympia,Washington,WA,98501,Thurston,-122.906248,47.036,18000,1908,1,409228,1903
Governor's Mansion,1716 Kanawha Blvd E,Charleston,West Virginia,WV,25311,Kanawha,-81.614646,38.336,21000,1925,1,108236,1714
Governor's Mansion,99 Cambridge Rd,Madison,Wisconsin,WI,53704,Dane,-89.36964,43.109,20777,1949,1,202029,1669
Governor's Mansion,5001 Central Ave,Cheyenne,Wyoming,WY,82009,Laramie,-104.839087,41.165,7875,1976,1,250890,2052
Old Governor's Mansion,300 East 21st St,Cheyenne,Wyoming,WY,82009,Laramie,-104.8146934,41.13877325,3000,1905,0,250890,2052
